,date,close,balance_gbp,type,balance_xrp,total_gbp,buy_and_hold,returns,market_returns
168,2023-07-04,0.38437,165.7178,hold,350.00000202,300.24730077642744,244.04444444444442,-0.0019893912492802146,-0.004429133858267709
169,2023-07-05,0.37624,165.7178,hold,350.00000202,297.4018007600048,238.8825396825397,-0.00947718766851291,-0.021151494653588898
170,2023-07-06,0.36315,165.7178,hold,350.00000202,292.820300733563,230.57142857142856,-0.015405085022127896,-0.034791622368700925
171,2023-07-07,0.3647,165.7178,hold,350.00000202,293.362800736694,231.55555555555554,0.0018526721056291162,0.004268208729175216
172,2023-07-08,0.36656,165.7178,hold,350.00000202,294.0138007404512,232.73650793650793,0.0022190952708469602,0.005100082259391403
173,2023-07-09,0.36492,165.7178,hold,350.00000202,293.4398007371384,231.69523809523812,-0.0019522893206618264,-0.004474028808380437
174,2023-07-10,0.37107,165.7178,hold,350.00000202,295.59230074956145,235.6,0.007335405786862648,0.01685300887865826
175,2023-07-11,0.36719,165.7178,hold,350.00000202,294.2343007417238,233.13650793650794,-0.004594165695094299,-0.01045624814724977
176,2023-07-12,0.36285,165.7178,hold,350.00000202,292.715300732957,230.3809523809524,-0.005162552445237001,-0.011819493994934427
177,2023-07-13,0.6208,165.7178,hold,350.00000202,382.99780125401605,394.1587301587301,0.30843109429193594,0.7108998208626149
178,2023-07-14,0.54958,270.2578,sell,175.00000202,366.4343011101516,348.9396825396825,-0.043246984942555966,-0.11472293814432988
179,2023-07-15,0.5457,270.2578,hold,175.00000202,365.755301102314,346.4761904761904,-0.0018529924894599148,-0.007059936678918466
180,2023-07-16,0.57053,270.2578,hold,175.00000202,370.1005511524706,362.2412698412698,0.011880210723018703,0.04550119113065798
181,2023-07-17,0.5647,270.2578,hold,175.00000202,369.08030114069396,358.53968253968253,-0.002756683308359431,-0.010218568699279507
182,2023-07-18,0.5995,270.2578,hold,175.00000202,375.17030121099,380.63492063492066,0.016500474426497602,0.06162564193377018
183,2023-07-19,0.63353,270.2578,hold,175.00000202,381.1255512797306,402.24126984126985,0.015873458132261486,0.05676396997497912
184,2023-07-20,0.6163,270.2578,hold,175.00000202,378.11030124492595,391.3015873015873,-0.007911435023655988,-0.02719681783025274
185,2023-07-21,0.60092,270.2578,hold,175.00000202,375.4188012138584,381.5365079365079,-0.007118293318658098,-0.02495537887392507
186,2023-07-22,0.56989,270.2578,hold,175.00000202,369.9885511511778,361.83492063492065,-0.01446451281907768,-0.05163748918325228
187,2023-07-23,0.57509,270.2578,hold,175.00000202,370.8985511616818,365.13650793650794,0.002459535592851836,0.009124567899068126
188,2023-07-24,0.54683,270.2578,hold,175.00000202,365.95305110459657,347.1936507936508,-0.013333834930321364,-0.04914013458762967
189,2023-07-25,0.54988,270.2578,hold,175.00000202,366.4868011107576,349.13015873015877,0.0014585204428545495,0.005577601814092281
190,2023-07-26,0.55382,270.2578,hold,175.00000202,367.17630111871637,351.631746031746,0.0018813774626236235,0.007165199679930012
191,2023-07-27,0.55755,270.2578,hold,175.00000202,367.829051126251,353.99999999999994,0.0017777563681147246,0.006735040265790193
192,2023-07-28,0.5544,270.2578,hold,175.00000202,367.27780111988795,352.0,-0.001498658152952248,-0.005649717514124131
193,2023-07-29,0.5549,270.2578,hold,175.00000202,367.365301120898,352.3174603174603,0.00023823928574828734,0.0009018759018759592
194,2023-07-30,0.5489,270.2578,hold,175.00000202,366.315301108778,348.50793650793656,-0.0028581904957171167,-0.010812759055685461
195,2023-07-31,0.54531,270.2578,hold,175.00000202,365.6870511015262,346.2285714285714,-0.001715052593626809,-0.006540353434141277
196,2023-08-01,0.55308,270.2578,hold,175.00000202,367.04680111722155,351.16190476190474,0.0037183433528735765,0.014248775925620238
197,2023-08-02,0.53822,270.2578,hold,175.00000202,364.4463010872044,341.7269841269841,-0.007084927649830264,-0.02686772257177983
198,2023-08-03,0.5233,270.2578,hold,175.00000202,361.835301057066,332.25396825396825,-0.007164292852882226,-0.02772100627995988
199,2023-08-04,0.49826,270.2578,hold,175.00000202,357.45330100648516,316.35555555555555,-0.012110482415008228,-0.04785018154022547
200,2023-08-05,0.49326,270.2578,hold,175.00000202,356.57830099638517,313.18095238095236,-0.002447872232921755,-0.010034921526913765
201,2023-08-06,0.48852,270.2578,hold,175.00000202,355.74880098681035,310.1714285714286,-0.002326277306434421,-0.00960953655273078
202,2023-08-07,0.48614,270.2578,hold,175.00000202,355.3323009820028,308.66031746031746,-0.0011707699468058719,-0.004871857856382555
203,2023-08-08,0.5039,270.2578,hold,175.00000202,358.44030101787797,319.93650793650795,0.008746742210842928,0.03653268605751436
204,2023-08-09,0.50611,270.2578,hold,175.00000202,358.8270510223422,321.33968253968254,0.0010789802468247345,0.004385790831514136
205,2023-08-10,0.49917,270.2578,hold,175.00000202,357.6125510083234,316.93333333333334,-0.003384638952271035,-0.013712434055837663
206,2023-08-11,0.49753,270.2578,hold,175.00000202,357.3255510050106,315.89206349206347,-0.0008025445485724259,-0.003285453853396736
207,2023-08-12,0.49393,270.2578,hold,175.00000202,356.69555099773856,313.6063492063492,-0.0017630981201878226,-0.007235744578216408
208,2023-08-13,0.49273,270.2578,hold,175.00000202,356.4855509953146,312.8444444444445,-0.0005887373751551905,-0.0024294940578623025
209,2023-08-14,0.50012,270.2578,hold,175.00000202,357.7788010102424,317.5365079365079,0.0036277768097949803,0.014998071966391135
210,2023-08-15,0.48026,270.2578,hold,175.00000202,354.3033009701252,304.92698412698417,-0.00971410276490281,-0.03971046948732282
211,2023-08-16,0.46214,270.2578,hold,175.00000202,351.1323009335228,293.4222222222222,-0.008949959054628587,-0.03772956315329212
212,2023-08-17,0.39858,270.2578,hold,175.00000202,340.0093008051316,253.06666666666663,-0.03167751898307136,-0.13753408058164207
213,2023-08-18,0.39788,270.2578,hold,175.00000202,339.88680080371756,252.62222222222223,-0.0003602842661184491,-0.0017562346329468292
214,2023-08-19,0.40867,133.2578,buy,513.44008202,343.0853583191134,259.47301587301587,0.00941065527649898,0.027118729265104946
215,2023-08-20,0.42293,133.2578,hold,513.44008202,350.40701388871855,268.52698412698413,0.021340623818737914,0.034893679496904584
216,2023-08-21,0.41086,133.2578,hold,513.44008202,344.2097920987372,260.86349206349206,-0.017685781232533948,-0.028539001726053947
217,2023-08-22,0.40917,133.2578,hold,513.44008202,343.3420783601234,259.79047619047617,-0.0025208862691648015,-0.004113323273134517
